sigma,theta,kai,inv_zeta,mu,phi_o_y,gamma_w,ksi_w,gamma_p,ksi_p,phi_r,phi_pi,phi_y,z_star_bar,psi_bar,eta,n_k,mu_E,r_E_bar,rho_b,rho_g,rho_w,rho_p,rho_r,rho_nu,rho_z,rho_psi,rho_i,rho_efp,rho_nw,sigma_b,sigma_g,sigma_w,sigma_p,sigma_r,sigma_nu,sigma_z,sigma_psi,sigma_i,sigma_efp,sigma_nw
1.197909,0.321718,3.481812,0.555751,1.157434,0.332662,0.314394,0.394902,0.770583,0.510375,0.526485,1.914452,0.086416,0.344158,0.423825,0.000000,0.000000,0.000000,0.000000,0.862604,0.928781,0.221670,0.971278,0.359653,0.877320,0.048192,0.118019,0.869028,0.000000,0.000000,1.649140,1.020814,0.795408,0.539173,0.450293,0.511164,1.424002,0.546434,1.484546,0.000000,0.000000
1.187412,0.321477,3.484128,0.553259,1.142165,0.336390,0.313699,0.392272,0.769764,0.507932,0.510528,1.925717,0.085249,0.341575,0.428491,0.000000,0.000000,0.000000,0.000000,0.867986,0.909604,0.223378,0.968075,0.357436,0.886803,0.047759,0.118519,0.869613,0.000000,0.000000,1.628567,1.035924,0.783459,0.542099,0.451197,0.507539,1.420266,0.544581,1.462864,0.000000,0.000000
1.191410,0.319966,3.527204,0.555190,1.158590,0.339365,0.309547,0.401418,0.775917,0.507261,0.514807,1.909205,0.086378,0.341813,0.430604,0.000000,0.000000,0.000000,0.000000,0.874859,0.903172,0.226974,0.970200,0.358283,0.881737,0.046800,0.119785,0.873145,0.000000,0.000000,1.640915,1.035995,0.783907,0.548387,0.462980,0.501820,1.410735,0.547345,1.464567,0.000000,0.000000
1.191410,0.319966,3.527204,0.555190,1.158590,0.339365,0.309547,0.401418,0.775917,0.507261,0.514807,1.909205,0.086378,0.341813,0.430604,0.000000,0.000000,0.000000,0.000000,0.874859,0.903172,0.226974,0.970200,0.358283,0.881737,0.046800,0.119785,0.873145,0.000000,0.000000,1.640915,1.035995,0.783907,0.548387,0.462980,0.501820,1.410735,0.547345,1.464567,0.000000,0.000000
1.191410,0.319966,3.527204,0.555190,1.158590,0.339365,0.309547,0.401418,0.775917,0.507261,0.514807,1.909205,0.086378,0.341813,0.430604,0.000000,0.000000,0.000000,0.000000,0.874859,0.903172,0.226974,0.970200,0.358283,0.881737,0.046800,0.119785,0.873145,0.000000,0.000000,1.640915,1.035995,0.783907,0.548387,0.462980,0.501820,1.410735,0.547345,1.464567,0.000000,0.000000
1.191410,0.319966,3.527204,0.555190,1.158590,0.339365,0.309547,0.401418,0.775917,0.507261,0.514807,1.909205,0.086378,0.341813,0.430604,0.000000,0.000000,0.000000,0.000000,0.874859,0.903172,0.226974,0.970200,0.358283,0.881737,0.046800,0.119785,0.873145,0.000000,0.000000,1.640915,1.035995,0.783907,0.548387,0.462980,0.501820,1.410735,0.547345,1.464567,0.000000,0.000000
1.191410,0.319966,3.527204,0.555190,1.158590,0.339365,0.309547,0.401418,0.775917,0.507261,0.514807,1.909205,0.086378,0.341813,0.430604,0.000000,0.000000,0.000000,0.000000,0.874859,0.903172,0.226974,0.970200,0.358283,0.881737,0.046800,0.119785,0.873145,0.000000,0.000000,1.640915,1.035995,0.783907,0.548387,0.462980,0.501820,1.410735,0.547345,1.464567,0.000000,0.000000
1.191410,0.319966,3.527204,0.555190,1.158590,0.339365,0.309547,0.401418,0.775917,0.507261,0.514807,1.909205,0.086378,0.341813,0.430604,0.000000,0.000000,0.000000,0.000000,0.874859,0.903172,0.226974,0.970200,0.358283,0.881737,0.046800,0.119785,0.873145,0.000000,0.000000,1.640915,1.035995,0.783907,0.548387,0.462980,0.501820,1.410735,0.547345,1.464567,0.000000,0.000000
1.191410,0.319966,3.527204,0.555190,1.158590,0.339365,0.309547,0.401418,0.775917,0.507261,0.514807,1.909205,0.086378,0.341813,0.430604,0.000000,0.000000,0.000000,0.000000,0.874859,0.903172,0.226974,0.970200,0.358283,0.881737,0.046800,0.119785,0.873145,0.000000,0.000000,1.640915,1.035995,0.783907,0.548387,0.462980,0.501820,1.410735,0.547345,1.464567,0.000000,0.000000
1.191410,0.319966,3.527204,0.555190,1.158590,0.339365,0.309547,0.401418,0.775917,0.507261,0.514807,1.909205,0.086378,0.341813,0.430604,0.000000,0.000000,0.000000,0.000000,0.874859,0.903172,0.226974,0.970200,0.358283,0.881737,0.046800,0.119785,0.873145,0.000000,0.000000,1.640915,1.035995,0.783907,0.548387,0.462980,0.501820,1.410735,0.547345,1.464567,0.000000,0.000000
1.187354,0.327611,3.564957,0.546536,1.145523,0.338744,0.308556,0.406591,0.765293,0.500483,0.505962,1.909092,0.085154,0.344294,0.429621,0.000000,0.000000,0.000000,0.000000,0.873813,0.893441,0.225665,0.982883,0.357726,0.900048,0.045844,0.117658,0.871463,0.000000,0.000000,1.646317,1.034391,0.775598,0.552087,0.459030,0.504514,1.407609,0.540807,1.471157,0.000000,0.000000
1.172088,0.329909,3.596578,0.550849,1.174297,0.336560,0.311029,0.402304,0.761453,0.503853,0.508586,1.926467,0.085120,0.345831,0.430785,0.000000,0.000000,0.000000,0.000000,0.876080,0.894533,0.227053,0.976943,0.358783,0.894388,0.045527,0.118789,0.880888,0.000000,0.000000,1.671779,1.015768,0.780330,0.556088,0.464662,0.506952,1.403705,0.538968,1.474775,0.000000,0.000000
