sigma,theta,kai,inv_zeta,mu,phi_o_y,gamma_w,ksi_w,gamma_p,ksi_p,phi_r,phi_pi,phi_y,z_star_bar,psi_bar,eta,n_k,mu_E,r_E_bar,rho_b,rho_g,rho_w,rho_p,rho_r,rho_nu,rho_z,rho_psi,rho_i,rho_efp,rho_nw,sigma_b,sigma_g,sigma_w,sigma_p,sigma_r,sigma_nu,sigma_z,sigma_psi,sigma_i,sigma_efp,sigma_nw
0.786321,0.403286,2.059137,0.436296,1.987162,0.986029,0.496374,0.453230,0.817651,0.377779,0.455361,1.805446,0.089170,0.289696,0.419047,0.985379,0.583914,0.031373,1.188017,0.719569,0.903954,0.107660,0.478354,0.381525,0.796182,0.169762,0.134192,0.976922,0.917267,0.665750,1.179683,0.983984,0.617035,0.588056,0.641453,0.526907,0.738857,0.518795,2.057216,0.366563,1.031253
0.786321,0.403286,2.059137,0.436296,1.987162,0.986029,0.496374,0.453230,0.817651,0.377779,0.455361,1.805446,0.089170,0.289696,0.419047,0.985379,0.583914,0.031373,1.188017,0.719569,0.903954,0.107660,0.478354,0.381525,0.796182,0.169762,0.134192,0.976922,0.917267,0.665750,1.179683,0.983984,0.617035,0.588056,0.641453,0.526907,0.738857,0.518795,2.057216,0.366563,1.031253
0.786458,0.403492,2.056060,0.435843,1.979242,0.985156,0.493446,0.450733,0.815359,0.377965,0.456233,1.809306,0.089350,0.288913,0.418221,0.980703,0.581402,0.031461,1.181555,0.721876,0.906143,0.106869,0.477832,0.381946,0.800174,0.169327,0.134984,0.978336,0.910919,0.667374,1.188107,0.985564,0.619020,0.585853,0.641835,0.527716,0.733679,0.520334,2.066477,0.368522,1.033237
0.786458,0.403492,2.056060,0.435843,1.979242,0.985156,0.493446,0.450733,0.815359,0.377965,0.456233,1.809306,0.089350,0.288913,0.418221,0.980703,0.581402,0.031461,1.181555,0.721876,0.906143,0.106869,0.477832,0.381946,0.800174,0.169327,0.134984,0.978336,0.910919,0.667374,1.188107,0.985564,0.619020,0.585853,0.641835,0.527716,0.733679,0.520334,2.066477,0.368522,1.033237
0.788233,0.401357,2.037467,0.436939,1.982207,0.989499,0.488835,0.453243,0.822232,0.380045,0.456195,1.813208,0.089571,0.290664,0.418810,0.982189,0.581386,0.031472,1.180976,0.717540,0.910524,0.106832,0.475863,0.386081,0.804449,0.168885,0.135880,0.977709,0.911078,0.659951,1.186192,0.982867,0.620690,0.587428,0.641218,0.528650,0.732753,0.518252,2.063225,0.368815,1.035477
0.787485,0.403085,2.032119,0.434133,1.977057,0.988811,0.489173,0.450841,0.824480,0.382087,0.454044,1.808442,0.089695,0.290090,0.418842,0.983612,0.579822,0.031633,1.181141,0.713259,0.913407,0.106614,0.475946,0.385105,0.808280,0.168844,0.136512,0.975773,0.911135,0.665073,1.184799,0.982562,0.622533,0.587277,0.641261,0.523884,0.733825,0.518093,2.056669,0.369608,1.033938
0.787485,0.403085,2.032119,0.434133,1.977057,0.988811,0.489173,0.450841,0.824480,0.382087,0.454044,1.808442,0.089695,0.290090,0.418842,0.983612,0.579822,0.031633,1.181141,0.713259,0.913407,0.106614,0.475946,0.385105,0.808280,0.168844,0.136512,0.975773,0.911135,0.665073,1.184799,0.982562,0.622533,0.587277,0.641261,0.523884,0.733825,0.518093,2.056669,0.369608,1.033938
0.786540,0.403136,2.034582,0.436087,1.978628,0.993438,0.489802,0.450286,0.829123,0.381066,0.451404,1.809393,0.089768,0.289931,0.419309,0.981310,0.581468,0.031643,1.190393,0.712276,0.910145,0.106184,0.477509,0.384413,0.811733,0.168624,0.136481,0.976236,0.910464,0.668809,1.190163,0.977972,0.622228,0.586402,0.646469,0.521002,0.732810,0.517128,2.058520,0.370037,1.035629
0.786540,0.403136,2.034582,0.436087,1.978628,0.993438,0.489802,0.450286,0.829123,0.381066,0.451404,1.809393,0.089768,0.289931,0.419309,0.981310,0.581468,0.031643,1.190393,0.712276,0.910145,0.106184,0.477509,0.384413,0.811733,0.168624,0.136481,0.976236,0.910464,0.668809,1.190163,0.977972,0.622228,0.586402,0.646469,0.521002,0.732810,0.517128,2.058520,0.370037,1.035629
0.785266,0.402127,2.035393,0.436037,1.979893,0.991203,0.487594,0.452895,0.831984,0.382388,0.449226,1.817368,0.089746,0.291490,0.421892,0.983457,0.581296,0.031510,1.187266,0.712146,0.912819,0.105354,0.473325,0.385291,0.812837,0.168325,0.136579,0.975988,0.909072,0.665812,1.194206,0.978594,0.626060,0.583476,0.653251,0.520705,0.733675,0.515343,2.069745,0.369597,1.034832
0.783351,0.402886,2.025750,0.435259,1.978234,0.989029,0.488582,0.453135,0.829373,0.380214,0.446647,1.831297,0.089760,0.292051,0.419162,0.979243,0.583003,0.031539,1.186048,0.710305,0.916294,0.105276,0.474920,0.386948,0.806593,0.167525,0.137201,0.976161,0.912632,0.665229,1.201046,0.976403,0.626842,0.579289,0.652538,0.524722,0.732589,0.513605,2.067001,0.369110,1.034327
0.787691,0.404692,2.035002,0.433486,1.977980,0.991234,0.487262,0.453148,0.827941,0.377798,0.449399,1.826653,0.090040,0.289965,0.418561,0.978227,0.583475,0.031519,1.189013,0.712747,0.919594,0.105243,0.474727,0.387286,0.809508,0.166030,0.137021,0.975535,0.914588,0.669608,1.191451,0.974314,0.630804,0.578562,0.652022,0.525185,0.730385,0.512363,2.074739,0.365855,1.033034
0.782890,0.402447,2.030023,0.433903,1.976469,0.985324,0.488475,0.454258,0.833883,0.376878,0.449593,1.823502,0.089540,0.289137,0.417271,0.981933,0.583118,0.031253,1.189415,0.715039,0.914254,0.104709,0.477486,0.387482,0.813600,0.166893,0.137076,0.979542,0.915193,0.676594,1.186017,0.967702,0.630498,0.579662,0.651455,0.526916,0.730922,0.512685,2.069961,0.367709,1.026453
0.782890,0.402447,2.030023,0.433903,1.976469,0.985324,0.488475,0.454258,0.833883,0.376878,0.449593,1.823502,0.089540,0.289137,0.417271,0.981933,0.583118,0.031253,1.189415,0.715039,0.914254,0.104709,0.477486,0.387482,0.813600,0.166893,0.137076,0.979542,0.915193,0.676594,1.186017,0.967702,0.630498,0.579662,0.651455,0.526916,0.730922,0.512685,2.069961,0.367709,1.026453
0.782890,0.402447,2.030023,0.433903,1.976469,0.985324,0.488475,0.454258,0.833883,0.376878,0.449593,1.823502,0.089540,0.289137,0.417271,0.981933,0.583118,0.031253,1.189415,0.715039,0.914254,0.104709,0.477486,0.387482,0.813600,0.166893,0.137076,0.979542,0.915193,0.676594,1.186017,0.967702,0.630498,0.579662,0.651455,0.526916,0.730922,0.512685,2.069961,0.367709,1.026453
0.787285,0.403880,2.024195,0.435292,1.982552,0.987590,0.488501,0.451664,0.829776,0.377592,0.449843,1.823084,0.089023,0.288974,0.414761,0.975853,0.580922,0.031288,1.184538,0.718182,0.907507,0.104979,0.478118,0.388953,0.815199,0.167962,0.136626,0.977393,0.913158,0.682159,1.180603,0.955699,0.630605,0.582145,0.646622,0.525660,0.726567,0.512998,2.075486,0.365088,1.024173
0.787824,0.404821,2.038850,0.432993,1.972619,0.983551,0.490090,0.451280,0.829889,0.377204,0.449747,1.837339,0.088767,0.288102,0.412183,0.981860,0.582575,0.031003,1.184161,0.719693,0.904750,0.105139,0.480754,0.389588,0.820815,0.167574,0.137224,0.971684,0.909553,0.682239,1.176588,0.955649,0.634413,0.583827,0.645145,0.522586,0.726053,0.510154,2.082656,0.364853,1.017279
0.787824,0.404821,2.038850,0.432993,1.972619,0.983551,0.490090,0.451280,0.829889,0.377204,0.449747,1.837339,0.088767,0.288102,0.412183,0.981860,0.582575,0.031003,1.184161,0.719693,0.904750,0.105139,0.480754,0.389588,0.820815,0.167574,0.137224,0.971684,0.909553,0.682239,1.176588,0.955649,0.634413,0.583827,0.645145,0.522586,0.726053,0.510154,2.082656,0.364853,1.017279
0.793598,0.404741,2.029621,0.433363,1.960610,0.984823,0.492625,0.450895,0.829816,0.377441,0.450624,1.846075,0.088469,0.289162,0.411568,0.976130,0.582500,0.030899,1.195663,0.718974,0.907486,0.105007,0.480393,0.389883,0.820398,0.167644,0.137152,0.971376,0.913823,0.683709,1.171797,0.957802,0.634542,0.585379,0.647778,0.521506,0.723496,0.507903,2.095102,0.364926,1.017205
0.787604,0.402820,2.025993,0.432968,1.943436,0.990551,0.491621,0.449708,0.829866,0.378021,0.449813,1.848035,0.088302,0.287547,0.411653,0.979151,0.585009,0.030624,1.198384,0.720373,0.903606,0.105161,0.480511,0.390044,0.815506,0.166921,0.137728,0.968413,0.912395,0.685325,1.171852,0.959145,0.633286,0.583957,0.644822,0.520458,0.720065,0.507114,2.085637,0.366086,1.007412
